Species	byUser	byPost	meanLikes	medianLikes	maxLikes	meanComments	medianComments	maxComments	genus	sub.family	status
Camponotus_lownei	8	14	56	49	118	2.64	2	10	Camponotus	Formicinae	native
Crematogaster_cerasi	8	13	45.38	37	92	0.92	1	3	Crematogaster	Myrmicinae	native
Ectatomma_tuberculatum	8	8	83.13	50	222	3.63	2	12	Ectatomma	Ectatomminae	native
Myrmecia_nigriceps	8	13	117.23	98	363	2.23	1	8	Myrmecia	Myrmeciinae	native
Pogonomyrmex_badius	8	11	52.91	55	143	1.64	1	7	Pogonomyrmex	Myrmicinae	native
Polyrhachis_hookeri	8	8	74.5	70	161	2.63	2	8	Polyrhachis	Formicinae	native
Rhytidoponera_aspera	8	21	98.71	97	158	3.33	3	11	Rhytidoponera	Ectatomminae	native
Camponotus_chromaiodes	7	26	63.19	66.5	133	2.19	1	7	Camponotus	Formicinae	native
Camponotus_humilior	7	11	62.55	63	96	3.82	2	15	Camponotus	Formicinae	native
Camponotus_morosus	7	21	37.48	36	67	2.14	2	7	Camponotus	Formicinae	native
Camponotus_planatus	7	27	47.37	26	139	0.81	0	6	Camponotus	Formicinae	alien
Crematogaster_rogenhoferi	7	20	61.25	64	181	2.4	2	12	Crematogaster	Myrmicinae	native
Eciton_burchellii	7	7	339.43	161	1405	8.14	8	17	Eciton	Dorylinae	native
Formica_bradleyi	7	14	85.36	87	137	3.36	2	15	Formica	Formicinae	native
Formica_polyctena	7	11	68.09	55	143	2.91	1	16	Formica	Formicinae	native
Gigantiops_destructor	7	20	93.5	88	168	2.45	0.5	19	Gigantiops	Formicinae	native
Meranoplus_bicolor	7	17	159.18	173	305	3.24	3	14	Meranoplus	Myrmicinae	native
Myrmecocystus_mimicus	7	26	85.58	65	243	2.92	1	17	Myrmecocystus	Formicinae	native
Odontomachus_chelifer	7	39	165.97	169	368	2.79	2	24	Odontomachus	Ponerinae	native
Odontomachus_clarus	7	14	51.79	47	121	1.79	1	10	Odontomachus	Ponerinae	native
Odontomachus_simillimus	7	62	38.66	28	296	2.08	1	12	Odontomachus	Ponerinae	alien
Odontoponera_denticulata	7	18	98.22	68.5	280	2.78	2.5	8	Odontoponera	Ponerinae	native
Plagiolepis_pygmaea	7	9	40	31	81	1.44	0	7	Plagiolepis	Formicinae	native
Pogonomyrmex_californicus	7	11	90.82	63	193	2.27	1	7	Pogonomyrmex	Myrmicinae	native
Polyergus_rufescens	7	10	75.1	56	200	3.6	1	18	Polyergus	Formicinae	native
Ponera_pennsylvanica	7	8	64.5	40.5	166	3.25	2	13	Ponera	Ponerinae	native
Stigmatomma_pallipes	7	22	80	72	180	3.14	2	18	Stigmatomma	Amblyoponinae	native
Atta_mexicana	6	12	49.67	35	133	1.33	1	7	Atta	Myrmicinae	native
Camponotus_fragilis	6	13	68.62	63	133	1.31	1	6	Camponotus	Formicinae	native
Camponotus_sericeiventris	6	10	69.7	66.5	161	2.1	1.5	5	Camponotus	Formicinae	native
Camponotus_sericeiventris_rex	6	10	69.7	66.5	161	2.1	1.5	5	Camponotus	Formicinae	native
Carebara_affinis	6	9	61.78	55	133	2.78	2	9	Carebara	Myrmicinae	native
Cataglyphis_aenescens	6	32	45.13	39	107	1.28	0	5	Cataglyphis	Formicinae	native
Lasius_neglectus	6	12	33.92	35	55	0.92	0	4	Lasius	Formicinae	alien
Messor_aciculatus	6	12	49.83	42.5	92	2	2	6	Messor	Myrmicinae	native
Messor_bouvieri	6	7	74.43	80	102	3.57	3	10	Messor	Myrmicinae	native
Myrmecocystus_mexicanus	6	26	108.96	103	218	7.65	5.5	27	Myrmecocystus	Formicinae	native
Novomessor_cockerelli	6	14	117.5	113.5	232	3.86	2.5	16	Novomessor	Myrmicinae	native
Odontomachus_haematodus	6	11	101.45	80	237	3.09	1	16	Odontomachus	Ponerinae	alien
Opisthopsis_rufithorax	6	28	112.54	117	176	2.25	2	8	Opisthopsis	Formicinae	native
Polyrhachis_vermiculosa	6	15	59.93	42	136	1.4	1	4	Polyrhachis	Formicinae	native
Veromessor_andrei	6	9	64.11	55	121	5.22	3	16	Veromessor	Myrmicinae	native
Veromessor_pergandei	6	12	108.33	104.5	235	5.33	4	17	Veromessor	Myrmicinae	native
Wasmannia_auropunctata	6	8	28.88	30	46	1.25	0	8	Wasmannia	Myrmicinae	alien
Aphaenogaster_iberica	5	14	56.21	52.5	114	2	2	8	Aphaenogaster	Myrmicinae	alien
Camponotus_baldaccii	5	7	63.57	66	122	2.29	3	5	Camponotus	Formicinae	native
Camponotus_barbaricus_eubarbaricus	5	38	98.63	106	203	5.68	2	112	Camponotus	Formicinae	native
Camponotus_brasiliensis	5	43	63.93	61	209	2.33	1	27	Camponotus	Formicinae	native
Camponotus_detritus	5	71	105.94	83	377	1.93	1	12	Camponotus	Formicinae	native
Camponotus_festinatus	5	8	96.63	96	218	1.75	1	7	Camponotus	Formicinae	native
Camponotus_friedae	5	12	33.08	33.5	46	0.17	0	1	Camponotus	Formicinae	native
Camponotus_micans	5	15	51.67	46	89	1.47	1	4	Camponotus	Formicinae	native
Camponotus_nylanderi	5	12	70	62.5	175	2.58	1.5	10	Camponotus	Formicinae	native
Camponotus_sansabeanus	5	11	117.09	137	189	5.45	5	12	Camponotus	Formicinae	native
Camponotus_sexguttatus	5	9	84.33	73	232	1.89	2	5	Camponotus	Formicinae	alien
Camponotus_thoracicus	5	7	94.14	85	173	3	2	8	Camponotus	Formicinae	native
Crematogaster_lineolata	5	17	58.18	48	152	1.82	0	9	Crematogaster	Myrmicinae	native
Crematogaster_osakensis	5	11	78.09	96	212	2.27	2	10	Crematogaster	Myrmicinae	native
Dorymyrmex_bicolor	5	19	91	92	173	1.63	1	7	Dorymyrmex	Dolichoderinae	native
